"Date","Time","Open","High","Low","Close","Vol","OI","Vol","VolAvg"
12/30/1977,16:00,94.69,95.67,93.99,95.10,83604,0,83604.00,0.00
01/06/1978,16:00,95.10,95.15,91.05,91.62,915300,0,915300.00,0.00
01/13/1978,16:00,91.48,91.48,89.23,89.69,1167900,0,1167900.00,0.00
01/20/1978,16:00,89.69,91.04,88.88,89.89,885900,0,885900.00,0.00
01/27/1978,16:00,89.89,90.08,88.02,88.58,939600,0,939600.00,0.00
02/03/1978,16:00,88.58,90.91,88.26,89.62,1019600,0,1019600.00,0.00
02/10/1978,16:00,89.62,91.32,88.95,90.08,850800,0,850800.00,0.00
02/17/1978,16:00,90.08,90.30,87.55,87.96,975200,0,975200.00,0.00
02/24/1978,16:00,87.96,88.87,86.83,88.49,815700,0,815700.00,0.00
03/03/1978,16:00,88.49,88.97,86.45,87.45,1011500,0,1011500.00,0.00
03/10/1978,16:00,87.45,89.25,86.48,88.88,1080700,0,1080700.00,0.00
03/17/1978,16:00,88.88,90.52,88.21,90.20,1255800,0,1255800.00,0.00
03/24/1978,16:00,90.20,91.35,88.83,89.36,960100,0,960100.00,0.00
03/31/1978,16:00,89.36,90.17,88.47,89.21,1065100,0,1065100.00,0.00
04/07/1978,16:00,89.20,90.59,88.07,90.17,1201400,0,1201400.00,0.00
04/14/1978,16:00,90.17,93.31,89.65,92.92,1601100,0,1601100.00,0.00
04/21/1978,16:00,93.60,95.89,92.75,94.34,2122900,0,2122900.00,0.00
04/28/1978,16:00,94.34,97.91,94.08,96.83,2030600,0,2030600.00,0.00
05/05/1978,16:00,96.83,98.30,94.57,96.53,1961800,0,1961800.00,0.00
05/12/1978,16:00,96.53,98.89,95.33,98.07,1821000,0,1821000.00,0.00
05/19/1978,16:00,98.07,100.32,97.40,98.12,2041800,0,2041800.00,0.00
05/26/1978,16:00,98.12,99.43,96.01,96.58,1431800,0,1431800.00,0.00
06/02/1978,16:00,96.58,98.52,95.95,98.14,1107200,0,1107200.00,0.00
06/09/1978,16:00,98.14,101.84,97.97,99.93,1964600,0,1964600.00,0.00
06/16/1978,16:00,99.93,100.68,97.10,97.42,1494600,0,1494600.00,0.00
06/23/1978,16:00,97.42,97.94,95.42,95.85,1382100,0,1382100.00,0.00
06/30/1978,16:00,95.85,96.26,93.99,95.53,1215500,0,1215500.00,0.00
07/07/1978,16:00,95.53,95.65,93.59,94.89,837600,0,837600.00,0.00
07/14/1978,16:00,94.89,97.88,94.28,97.58,1285700,0,1285700.00,0.00
07/21/1978,16:00,97.58,99.18,96.52,97.75,1423000,0,1423000.00,0.00
07/28/1978,16:00,97.75,100.51,96.72,100.00,1528700,0,1528700.00,0.00
08/04/1978,16:00,100.00,105.41,99.37,103.92,2205500,0,2205500.00,0.00
08/11/1978,16:00,103.92,105.72,102.60,103.96,1897500,0,1897500.00,0.00
08/18/1978,16:00,103.96,106.27,102.86,104.73,1781200,0,1781200.00,0.00
08/25/1978,16:00,104.73,105.86,103.14,104.90,1733800,0,1733800.00,0.00
09/01/1978,16:00,104.90,105.14,102.63,103.68,1722100,0,1722100.00,0.00
09/08/1978,16:00,103.68,107.19,103.31,106.79,1572500,0,1572500.00,0.00
09/15/1978,16:00,106.79,108.05,103.56,104.12,1921000,0,1921000.00,0.00
09/22/1978,16:00,104.12,105.03,100.66,101.84,1642000,0,1642000.00,0.00
09/29/1978,16:00,101.84,103.44,100.94,102.54,1236700,0,1236700.00,0.00
10/06/1978,16:00,102.54,104.23,101.76,103.52,1215300,0,1215300.00,0.00
10/13/1978,16:00,103.52,106.23,103.31,104.66,1190200,0,1190200.00,0.00
10/20/1978,16:00,104.63,104.63,97.12,97.95,1708900,0,1708900.00,0.00
10/27/1978,16:00,97.95,98.95,94.30,94.59,1687000,0,1687000.00,0.00
11/03/1978,16:00,94.59,97.41,91.65,96.18,2196700,0,2196700.00,0.00
11/10/1978,16:00,96.18,96.49,92.89,94.77,1094000,0,1094000.00,0.00
11/17/1978,16:00,94.77,95.03,91.77,94.42,1243600,0,1243600.00,0.00
11/24/1978,16:00,94.42,96.17,94.29,95.79,797900,0,797900.00,0.00
